question_id,chunk_size,rank,paper_id,dataset,chunk_id,page_start,page_end,word_count,bm25_score,is_relevant_paper,is_relevant_page,text
Q03,200,1,p5_rag_eval,p5_rag_eval_200,6,4,4,200,13.978446,False,False,"and the coherence of the generated text [75,49]. The subjective nature of certain tasks, such as creative content generation or open-ended question answering, further complicates the evaluation, as it introduces variability in what constitutes a “correct” or “high-quality” response [48]. RAG System as a Whole Evaluating the whole RAG system introduces additional com- plexities. The interplay between the retrieval and generation components means that the entire system’s performance cannot be fully understood by evaluating each com- ponent in isolation [49,14]. The system needs to be assessed on its ability to leverage retrieved information effectively to improve response quality, which involves measur- ing the added value of the retrieval component to the generative process. Furthermore, practical considerations such as response latency and the ability to handle ambiguous or complex queries are also crucial for evaluating the system’s overall effectiveness and usability [39,6]. Conclusion Evaluating the target shift from traditional absolute numeric metrics to multi-source and multi-target generation evaluation, along with the intricate interplay between retrieval and generation components, poses significant challenges. [5,50] Searches in a dynamic database may lead to misleading results or contradict the facts. Diverse and comprehensive datasets that accurately reflect real-world scenarios are crucial. Chal- lenges also arise"
Q03,200,2,p5_rag_eval,p5_rag_eval_200,8,4,5,200,10.968032,False,False,"for introducing and comparing the RAG benchmarks. Evaluation of Retrieval-Augmented Generation: A Survey Fig. 2: The Target modular of the Auepora. 3.1 Evaluation Target (What to Evaluate?) The combination of EOs and GTs in the RAG system can generate all possible targets, which is the fundamental concept of the Auepora (as shown in Figure 1). Once iden- tified, these targets can be defined based on a specific pair of EOs or EO with GT, as illustrated in Figure 2, and used to analyze all aspects of current RAG benchmarks. Retrieval The EOs are the relevant documents for evaluating the retrieval component depending on the query. Then we can construct two pairwise relationships for the re- trieval component, which are Relevant Documents ↔Query, Relevant Documents ↔ Documents Candidates. - Relevance (Relevant Documents ↔Query) evaluates how well the retrieved docu- ments match the information needed expressed in the query. It measures the preci- sion and specificity of the retrieval process. - Accuracy (Relevant Documents ↔Documents Candidates) assesses how accurate the retrieved documents are in comparison to a set of candidate documents. It is a measure of the system’s ability to identify and score relevant documents higher than less relevant or irrelevant ones."
Q03,200,3,p5_rag_eval,p5_rag_eval_200,3,2,3,200,9.972770,False,False,"of evaluating RAG is increasing in parallel with the advancement of RAG-specific methodologies. On the one hand, RAG is a complex system intricately tied to specific requirements and language models, resulting in various evaluation meth- ods, indicators, and tools, particularly given the black-box LLM generation. Evaluating RAG systems involves specific components and the complexity of the overall system assessment. On the other hand, the complexity of RAG systems is further compounded Evaluation of Retrieval-Augmented Generation: A Survey by the external dynamic database and the various downstream tasks, such as content creation or open domain question answering [16,70]. These challenges necessitate the development of comprehensive evaluation metrics that can effectively capture the in- terplay between retrieval accuracy and generative quality [2,7]. To clarify the elements further, we try to address the current gaps in the area, which differs from the prior RAG surveys [74,16,24] that predominantly collected specific RAG methods or data. We have compiled 12 distinct evaluation frameworks, encompassing a range of aspects of the RAG system. Following the procedure of making benchmarks, we analyze through tar- gets, datasets and metrics mentioned in these benchmarks and summarize them into A Unified Evaluation Process of RAG (Auepora) as three corresponding phases."
Q03,200,4,p5_rag_eval,p5_rag_eval_200,0,1,1,200,9.056375,False,False,"Evaluation of Retrieval-Augmented Generation: A Survey Hao Yu1,2, Aoran Gan3, Kai Zhang3, Shiwei Tong1†, Qi Liu3, and Zhaofeng Liu1 1 Tencent Company 2 McGill University 3 State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China hao.yu2@mail.mcgill.ca gar@mail.ustc.edu.cn {shiweitong†,zhaofengliu}@tencent.com {kkzhang08,qiliuql}@ustc.edu.cn Abstract. Retrieval-Augmented Generation (RAG) has recently gained traction in natural language processing. Numerous studies and real-world applications are leveraging its ability to enhance generative models through external informa- tion retrieval. Evaluating these RAG systems, however, poses unique challenges due to their hybrid structure and reliance on dynamic knowledge sources. To better understand these challenges, we conduct A Unified Evaluation Process of RAG (Auepora) and aim to provide a comprehensive overview of the evaluation and benchmarks of RAG systems. Specifically, we examine and compare several quantifiable metrics of the Retrieval and Generation components, such as rele- vance, accuracy, and faithfulness, within the current RAG benchmarks, encom- passing the possible output and ground truth pairs. We then analyze the various datasets and metrics, discuss the limitations of current benchmarks, and suggest potential directions to advance the field of RAG benchmarks. Introduction Retrieval-Augmented Generation (RAG) [34] efficiently enhances the performance of generative language models through integrating information retrieval techniques. It"
Q03,200,5,p5_rag_eval,p5_rag_eval_200,1,1,2,200,8.426589,False,False,"ad- dresses a critical challenge faced by standalone generative language models: the ten- dency to produce responses that, while plausible, may not be grounded in facts. By retrieving relevant information from external sources, RAG significantly reduces the incidence of hallucinations [23] or factually incorrect outputs, thereby improving the content’s reliability and richness. [73] This fusion of retrieval and generation capabil- ities enables the creation of responses that are not only contextually appropriate but also informed by the most current and accurate information available, making RAG a development in the pursuit of more intelligent and versatile language models [73,64]. † Corresponding Author Paper Homepage: https://github.com/YHPeter/Awesome-RAG-Evaluation arXiv:2405.07437v2 [cs.CL] 3 Jul 2024 Hao Yu, Aoran Gan, Kai Zhang, Shiwei Tong†, Qi Liu, and Zhaofeng Liu Numerous studies of RAG systems have emerged from various perspectives since the advent of Large Language Models (LLMs) [55,45,59,42,41,69,16]. The RAG sys- tem comprises two primary components: Retrieval and Generation. The retrieval com- ponent aims to extract relevant information from various external knowledge sources. It involves two main phases, indexing and searching. Indexing organizes documents to facilitate efficient retrieval, using either inverted indexes for sparse retrieval or dense vector encoding for dense retrieval [16,12,28]. The searching component utilizes"
Q04,200,1,p2_dpr,p2_dpr_200,6,2,2,200,16.340717,True,False,"≪|C|. For a ﬁxed k, a retriever can be evaluated in isolation on top-k retrieval accuracy, which is the fraction of ques- tions for which CF contains a span that answers the question. 3 Dense Passage Retriever (DPR) We focus our research in this work on improv- ing the retrieval component in open-domain QA. Given a collection of M text passages, the goal of our dense passage retriever (DPR) is to index all the passages in a low-dimensional and continuous space, such that it can retrieve efﬁciently the top k passages relevant to the input question for the reader at run-time. Note that M can be very large (e.g., 21 million passages in our experiments, de- scribed in Section 4.1) and k is usually small, such as 20–100. 3.1 Overview Our dense passage retriever (DPR) uses a dense encoder EP (·) which maps any text passage to a d- dimensional real-valued vectors and builds an index for all the M passages that we will use for retrieval. 3The ideal size and boundary of a text passage are func- tions of both the retriever and reader. We also experimented with natural paragraphs in our preliminary trials and found that using ﬁxed-length"
Q04,200,2,p2_dpr,p2_dpr_200,14,4,5,200,15.802971,True,False,"match and replace each gold passage with the corresponding passage in the candidate pool.7 We discard the questions when the matching is failed due to different Wikipedia versions or pre-processing. Table 1 shows the num- ber of questions in training/dev/test sets for all the datasets and the actual questions used for training the retriever. 5 Experiments: Passage Retrieval In this section, we evaluate the retrieval perfor- mance of our Dense Passage Retriever (DPR), along with analysis on how its output differs from 6We use the unﬁltered TriviaQA version and discard the noisy evidence documents mined from Bing. 7The improvement of using gold contexts over passages that contain answers is small. See Section 5.2 and Ap- pendix A. 6773 Training Retriever Top-20 Top-100 NQ TriviaQA WQ TREC SQuAD NQ TriviaQA WQ TREC SQuAD None BM25 59.1 66.9 55.0 70.9 68.8 73.7 76.7 71.1 84.1 80.0 Single DPR 78.4 79.4 73.2 79.8 63.2 85.4 85.0 81.4 89.1 77.2 BM25 + DPR 76.6 79.8 71.0 85.2 71.5 83.8 84.5 80.5 92.7 81.3 Multi DPR 79.4 78.8 75.0 89.1 51.6 86.0 84.7 82.9 93.9 67.6 BM25 + DPR 78.0 79.9 74.7 88.5 66.2 83.9 84.4 82.3 94.1 78.6 Table 2: Top-20 & Top-100 retrieval"
Q04,200,3,p2_dpr,p2_dpr_200,17,5,6,200,15.684148,True,False,"our dense passage re- triever vs BM25. The results are measured on the de- velopment set of Natural Questions. Our DPR trained using 1,000 examples already outperforms BM25. tiple datasets, TREC, the smallest dataset of the ﬁve, beneﬁts greatly from more training examples. In contrast, Natural Questions and WebQuestions improve modestly and TriviaQA degrades slightly. Results can be improved further in some cases by combining DPR with BM25 in both single- and multi-dataset settings. We conjecture that the lower performance on SQuAD is due to two reasons. First, the annota- tors wrote questions after seeing the passage. As a result, there is a high lexical overlap between passages and questions, which gives BM25 a clear advantage. Second, the data was collected from only 500+ Wikipedia articles and thus the distribu- tion of training examples is extremely biased, as argued previously by Lee et al. (2019). 5.2 Ablation Study on Model Training To understand further how different model training options affect the results, we conduct several addi- tional experiments and discuss our ﬁndings below. 6774 Sample efﬁciency We explore how many train- ing examples are needed to achieve good passage retrieval performance. Figure 1 illustrates the top-k retrieval accuracy with respect"
Q04,200,4,p2_dpr,p2_dpr_200,27,8,8,200,14.262784,True,False,"by focusing on learning a strong passage retrieval model using pairs of questions and answers. The additional pretraining tasks are likely more useful only when the target training sets are small. Al- though the results of DPR on WQ and TREC in the single-dataset setting are less competitive, adding more question–answer pairs helps boost the perfor- mance, achieving the new state of the art. To compare our pipeline training approach with joint learning, we run an ablation on Natural Ques- tions where the retriever and reader are jointly trained, following Lee et al. (2019). This approach strategy of training a strong retriever and reader in isolation can leverage effectively available supervi- sion, while outperforming a comparable joint train- ing approach with a simpler design (Appendix D). One thing worth noticing is that our reader does consider more passages compared to ORQA, al- though it is not completely clear how much more time it takes for inference. While DPR processes up to 100 passages for each question, the reader is able to ﬁt all of them into one batch on a sin- gle 32GB GPU, thus the latency remains almost identical to the single passage case (around 20ms). The exact impact"
Q04,200,5,p2_dpr,p2_dpr_200,15,5,5,200,13.830737,True,False,"accuracy on test sets, measured as the percentage of top 20/100 retrieved passages that contain the answer. Single and Multi denote that our Dense Passage Retriever (DPR) was trained using individial or combined training datasets (all the datasets excluding SQuAD). See text for more details. traditional retrieval methods, the effects of different training schemes and the run-time efﬁciency. The DPR model used in our main experiments is trained using the in-batch negative setting (Sec- tion 3.2) with a batch size of 128 and one additional BM25 negative passage per question. We trained the question and passage encoders for up to 40 epochs for large datasets (NQ, TriviaQA, SQuAD) and 100 epochs for small datasets (TREC, WQ), scheduling with warm-up and dropout rate 0.1. While it is good to have the ﬂexibility to adapt the retriever to each dataset, it would also be de- sirable to obtain a single retriever that works well across the board. To this end, we train a multi- dataset encoder by combining training data from all datasets excluding SQuAD.8 In addition to DPR, we also present the results of BM25, the traditional retrieval method9 and BM25+DPR, using a linear combination of their scores as the new"
Q05,200,1,p2_dpr,p2_dpr_200,6,2,2,200,12.821946,True,False,"≪|C|. For a ﬁxed k, a retriever can be evaluated in isolation on top-k retrieval accuracy, which is the fraction of ques- tions for which CF contains a span that answers the question. 3 Dense Passage Retriever (DPR) We focus our research in this work on improv- ing the retrieval component in open-domain QA. Given a collection of M text passages, the goal of our dense passage retriever (DPR) is to index all the passages in a low-dimensional and continuous space, such that it can retrieve efﬁciently the top k passages relevant to the input question for the reader at run-time. Note that M can be very large (e.g., 21 million passages in our experiments, de- scribed in Section 4.1) and k is usually small, such as 20–100. 3.1 Overview Our dense passage retriever (DPR) uses a dense encoder EP (·) which maps any text passage to a d- dimensional real-valued vectors and builds an index for all the M passages that we will use for retrieval. 3The ideal size and boundary of a text passage are func- tions of both the retriever and reader. We also experimented with natural paragraphs in our preliminary trials and found that using ﬁxed-length"
Q05,200,2,p2_dpr,p2_dpr_200,15,5,5,200,12.636052,True,False,"accuracy on test sets, measured as the percentage of top 20/100 retrieved passages that contain the answer. Single and Multi denote that our Dense Passage Retriever (DPR) was trained using individial or combined training datasets (all the datasets excluding SQuAD). See text for more details. traditional retrieval methods, the effects of different training schemes and the run-time efﬁciency. The DPR model used in our main experiments is trained using the in-batch negative setting (Sec- tion 3.2) with a batch size of 128 and one additional BM25 negative passage per question. We trained the question and passage encoders for up to 40 epochs for large datasets (NQ, TriviaQA, SQuAD) and 100 epochs for small datasets (TREC, WQ), scheduling with warm-up and dropout rate 0.1. While it is good to have the ﬂexibility to adapt the retriever to each dataset, it would also be de- sirable to obtain a single retriever that works well across the board. To this end, we train a multi- dataset encoder by combining training data from all datasets excluding SQuAD.8 In addition to DPR, we also present the results of BM25, the traditional retrieval method9 and BM25+DPR, using a linear combination of their scores as the new"
Q05,200,3,p2_dpr,p2_dpr_200,3,1,2,200,12.566873,True,False,"setting new state-of-the-art results on multiple open-domain 6770 QA datasets, it also suffers from two weaknesses. First, ICT pretraining is computationally intensive and it is not completely clear that regular sentences are good surrogates of questions in the objective function. Second, because the context encoder is not ﬁne-tuned using pairs of questions and answers, the corresponding representations could be subop- timal. In this paper, we address the question: can we train a better dense embedding model using only pairs of questions and passages (or answers), with- out additional pretraining? By leveraging the now standard BERT pretrained model (Devlin et al., 2019) and a dual-encoder architecture (Bromley et al., 1994), we focus on developing the right training scheme using a relatively small number of question and passage pairs. Through a series of careful ablation studies, our ﬁnal solution is surprisingly simple: the embedding is optimized for maximizing inner products of the question and relevant passage vectors, with an objective compar- ing all pairs of questions and passages in a batch. Our Dense Passage Retriever (DPR) is exception- ally strong. It not only outperforms BM25 by a but also results in a substantial improvement on the end-to-end QA accuracy compared to ORQA"
Q05,200,4,p2_dpr,p2_dpr_200,30,9,9,200,12.018048,True,False,"directly retrieve the answers to the input ques- tions efﬁciently. Using additional pretraining with the objective that matches surrogates of questions and relevant passages, Lee et al. (2019) jointly train the question encoder and reader. Their approach outperforms the BM25 plus reader paradigm on multiple open-domain QA datasets in QA accuracy, and is further extended by REALM (Guu et al., 2020), which includes tuning the passage encoder asynchronously by re-indexing the passages dur- ing training. The pretraining objective has also recently been improved by Xiong et al. (2020b). In contrast, our model provides a simple and yet effective solution that shows stronger empirical per- formance, without relying on additional pretraining or complex joint training schemes. DPR has also been used as an important mod- ule in very recent work. For instance, extending the idea of leveraging hard negatives, Xiong et al. (2020a) use the retrieval model trained in the pre- vious iteration to discover new negatives and con- struct a different set of examples in each training iteration. Starting from our trained DPR model, they show that the retrieval performance can be further improved. Recent work (Izacard and Grave, 2020; Lewis et al., 2020b) have also shown that DPR can"
Q05,200,5,p6_rag_survey,p6_rag_survey_200,48,12,13,200,11.530099,False,False,"embedding. It uses a gate score to determine whether to re-start retrieval or to generate the real answer. With the rapid development of LLMs, query-based RAG is emerging as a new standard. DIVKNOWQA [278] re- Encoder L1 Layers Text Knowledge Source DPR Retriever P1 P3 P5 P6 P2 P4 P7 P8 KG Decoder Input Question Encoder L1 Layers Encoder L-L1 Layers Encoder L1 Layers Encoder L1 Layers Concatenation Output Answer P1 P3 P5 P2 P7 Question + P1 Question + P2 Question + P3 Question + P5 Encoder L1 Layers Question + P7 Encoder L-L1 Layers Retrieved Passages & Embeddings Stage-1 Reranking Reading Module When did the Yankees move to New York? 1903 New York Yankees Yankee Stadium Staten Island Yankees New York Yankees Operator Yankee Stadium New York Yankees Parent Club Staten Island Yankees ...... N0 Passages N1 Passages N2 Passages Stage-2 Reranking Fig. 7: Architecture of KG-FiD [274] model. trieves from multiple sources using different techniques. It iteratively retrieves and re-ranks the data before generating the final answer. KnowledGPT [279] uses generated code to retrieve from both public and personal knowledge bases. EFSUM [280] optimizes the evidence-focused summary after facts-augmented generation, so as to align the QA-specific preference"
Q06,200,1,p4_never_lost,p4_never_lost_200,0,1,1,200,17.536972,False,False,"August 11-16, 2024 ©2024 Association for Computational Linguistics Never Lost in the Middle: Mastering Long-Context Question Answering with Position-Agnostic Decompositional Training Junqing He, Kunhao Pan, Xiaoqun Dong, Zhuoyang Song, Yibo Liu, Qianguo Sun, Yuxin Liang, Hao Wang, Enming Zhang, Jiaxing Zhang International Digital Economy Academy, Shenzhen, China hejunqing@idea.edu.cn Abstract While large language models (LLMs) are equipped with longer text input capabilities than before, they struggle to seek correct in- formation in long contexts. The ""lost in the middle"" problem challenges most LLMs, refer- ring to the dramatic decline in accuracy when correct information is located in the middle. To overcome this crucial issue, this paper pro- poses to enhance the information searching and reflection ability of LLMs in long contexts via specially designed tasks called Position- Agnostic Multi-step QA (PAM QA). Trained with this task, our model excels in focusing more precisely on the desired information. Ex- perimental results show substantial improve- ment in Multi-doc QA and other benchmarks, surpassing state-of-the-art models by a 13.7% absolute gain in shuffled settings and by 21.5% in the passage retrieval task. We release our model and code to promote related research in the community.1 Introduction Large Language Models (LLMs), renowned for their exceptional"
Q06,200,2,p3_lost_middle,p3_lost_middle_200,0,1,1,200,16.013695,True,True,"Lost in the Middle: How Language Models Use Long Contexts Nelson F. Liu1∗ Kevin Lin2 John Hewitt1 Ashwin Paranjape3,4 Michele Bevilacqua3 Fabio Petroni3 Percy Liang1 1Stanford University, USA 2University of California, Berkeley, USA 3Samaya AI, UK 4Samaya AI, USA nfliu@cs.stanford.edu Abstract While recent language models have the abil- ity to take long contexts as input, relatively little is known about how well they use longer context. We analyze the performance of language models on two tasks that re- quire identifying relevant information in their input contexts: multi-document question an- swering and key-value retrieval. We find that performance can degrade significantly when changing the position of relevant information, indicating that current language models do not robustly make use of information in long in- put contexts. In particular, we observe that performance is often highest when relevant in- formation occurs at the beginning or end of the input context, and significantly degrades when models must access relevant information in the middle of long contexts, even for explicitly long-context models. Our analysis provides a better understanding of how language mod- els use their input context and provides new evaluation protocols for future long-context language models. Introduction Language models have become an important and"
