retriever,question_id,chunk_size,rank,stored_paper_relevance,calculated_paper_relevance,paper_flag_matches,stored_page_relevance,calculated_page_relevance,page_flag_matches
dense,Q09,200,4,True,True,True,True,True,True
dense,Q09,200,5,True,True,True,True,True,True
dense,Q10,200,1,True,True,True,False,False,True
dense,Q10,200,2,True,True,True,True,True,True
dense,Q10,200,3,True,True,True,False,False,True
dense,Q10,200,4,True,True,True,False,False,True
dense,Q10,200,5,True,True,True,False,False,True
dense,Q11,200,1,False,False,True,False,False,True
dense,Q11,200,2,True,True,True,True,True,True
dense,Q11,200,3,True,True,True,False,False,True
dense,Q11,200,4,True,True,True,False,False,True
dense,Q11,200,5,False,False,True,False,False,True
dense,Q12,200,1,True,True,True,False,False,True
dense,Q12,200,2,True,True,True,True,True,True
dense,Q12,200,3,True,True,True,True,True,True
dense,Q12,200,4,True,True,True,False,False,True
dense,Q12,200,5,True,True,True,False,False,True
dense,Q13,200,1,True,True,True,True,True,True
dense,Q13,200,2,True,True,True,False,False,True
dense,Q13,200,3,True,True,True,False,False,True
dense,Q13,200,4,True,True,True,False,False,True
dense,Q13,200,5,True,True,True,True,True,True
dense,Q14,200,1,False,False,True,False,False,True
dense,Q14,200,2,False,False,True,False,False,True
dense,Q14,200,3,True,True,True,True,True,True
dense,Q14,200,4,True,True,True,True,True,True
dense,Q14,200,5,False,False,True,False,False,True
dense,Q15,200,1,False,False,True,False,False,True
dense,Q15,200,2,False,False,True,False,False,True
dense,Q15,200,3,True,True,True,False,False,True
dense,Q15,200,4,True,True,True,False,False,True
dense,Q15,200,5,False,False,True,False,False,True
dense,Q01,400,1,True,True,True,False,False,True
dense,Q01,400,2,True,True,True,False,False,True
dense,Q01,400,3,False,False,True,False,False,True
dense,Q01,400,4,False,False,True,False,False,True
dense,Q01,400,5,False,False,True,False,False,True
dense,Q02,400,1,True,True,True,True,True,True
dense,Q02,400,2,True,True,True,True,True,True
dense,Q02,400,3,False,False,True,False,False,True
dense,Q02,400,4,True,True,True,False,False,True
dense,Q02,400,5,True,True,True,False,False,True
dense,Q03,400,1,False,False,True,False,False,True
dense,Q03,400,2,True,True,True,False,False,True
dense,Q03,400,3,False,False,True,False,False,True
dense,Q03,400,4,False,False,True,False,False,True
dense,Q03,400,5,True,True,True,False,False,True
dense,Q04,400,1,True,True,True,True,True,True
dense,Q04,400,2,True,True,True,False,False,True
dense,Q04,400,3,False,False,True,False,False,True
dense,Q04,400,4,False,False,True,False,False,True
dense,Q04,400,5,True,True,True,False,False,True
dense,Q05,400,1,False,False,True,False,False,True
dense,Q05,400,2,True,True,True,True,True,True
dense,Q05,400,3,False,False,True,False,False,True
dense,Q05,400,4,True,True,True,False,False,True
dense,Q05,400,5,False,False,True,False,False,True
dense,Q06,400,1,True,True,True,False,False,True
dense,Q06,400,2,True,True,True,True,True,True
dense,Q06,400,3,False,False,True,False,False,True
dense,Q06,400,4,False,False,True,False,False,True
dense,Q06,400,5,True,True,True,True,True,True
dense,Q07,400,1,True,True,True,False,False,True
dense,Q07,400,2,True,True,True,False,False,True
dense,Q07,400,3,True,True,True,False,False,True
dense,Q07,400,4,True,True,True,True,True,True
dense,Q07,400,5,True,True,True,False,False,True
dense,Q08,400,1,False,False,True,False,False,True
dense,Q08,400,2,False,False,True,False,False,True
dense,Q08,400,3,False,False,True,False,False,True
dense,Q08,400,4,True,True,True,False,False,True
dense,Q08,400,5,False,False,True,False,False,True
dense,Q09,400,1,True,True,True,False,False,True
dense,Q09,400,2,True,True,True,False,False,True
dense,Q09,400,3,True,True,True,True,True,True
dense,Q09,400,4,True,True,True,True,True,True
dense,Q09,400,5,True,True,True,False,False,True
dense,Q10,400,1,True,True,True,False,False,True
dense,Q10,400,2,True,True,True,False,False,True
dense,Q10,400,3,True,True,True,False,False,True
dense,Q10,400,4,True,True,True,False,False,True
dense,Q10,400,5,True,True,True,False,False,True
dense,Q11,400,1,False,False,True,False,False,True
dense,Q11,400,2,True,True,True,True,True,True
dense,Q11,400,3,True,True,True,False,False,True
dense,Q11,400,4,False,False,True,False,False,True
dense,Q11,400,5,False,False,True,False,False,True
dense,Q12,400,1,True,True,True,False,False,True
dense,Q12,400,2,True,True,True,True,True,True
dense,Q12,400,3,True,True,True,False,False,True
dense,Q12,400,4,True,True,True,False,False,True
dense,Q12,400,5,True,True,True,True,True,True
dense,Q13,400,1,True,True,True,True,True,True
dense,Q13,400,2,True,True,True,False,False,True
dense,Q13,400,3,True,True,True,False,False,True
dense,Q13,400,4,True,True,True,False,False,True
dense,Q13,400,5,False,False,True,False,False,True
dense,Q14,400,1,True,True,True,True,True,True
dense,Q14,400,2,False,False,True,False,False,True
dense,Q14,400,3,True,True,True,True,True,True
dense,Q14,400,4,True,True,True,False,False,True
dense,Q14,400,5,False,False,True,False,False,True
dense,Q15,400,1,False,False,True,False,False,True
dense,Q15,400,2,True,True,True,False,False,True
dense,Q15,400,3,False,False,True,False,False,True
dense,Q15,400,4,False,False,True,False,False,True
dense,Q15,400,5,False,False,True,False,False,True
dense,Q01,800,1,True,True,True,False,False,True
dense,Q01,800,2,False,False,True,False,False,True
dense,Q01,800,3,False,False,True,False,False,True
dense,Q01,800,4,False,False,True,False,False,True
dense,Q01,800,5,False,False,True,False,False,True
dense,Q02,800,1,True,True,True,True,True,True
dense,Q02,800,2,False,False,True,False,False,True
dense,Q02,800,3,True,True,True,False,False,True
dense,Q02,800,4,False,False,True,False,False,True
dense,Q02,800,5,True,True,True,False,False,True
dense,Q03,800,1,False,False,True,False,False,True
dense,Q03,800,2,True,True,True,True,True,True
dense,Q03,800,3,False,False,True,False,False,True
dense,Q03,800,4,False,False,True,False,False,True
dense,Q03,800,5,True,True,True,False,False,True
dense,Q04,800,1,False,False,True,False,False,True
dense,Q04,800,2,True,True,True,False,False,True
dense,Q04,800,3,True,True,True,False,False,True
dense,Q04,800,4,False,False,True,False,False,True
dense,Q04,800,5,True,True,True,False,False,True
dense,Q05,800,1,False,False,True,False,False,True
dense,Q05,800,2,False,False,True,False,False,True
dense,Q05,800,3,False,False,True,False,False,True
dense,Q05,800,4,True,True,True,True,True,True
dense,Q05,800,5,False,False,True,False,False,True
dense,Q06,800,1,True,True,True,True,True,True
dense,Q06,800,2,False,False,True,False,False,True
dense,Q06,800,3,True,True,True,False,False,True
dense,Q06,800,4,True,True,True,True,True,True
dense,Q06,800,5,False,False,True,False,False,True
dense,Q07,800,1,True,True,True,True,True,True
dense,Q07,800,2,True,True,True,False,False,True
dense,Q07,800,3,True,True,True,True,True,True
dense,Q07,800,4,True,True,True,False,False,True
dense,Q07,800,5,True,True,True,True,True,True
dense,Q08,800,1,False,False,True,False,False,True
dense,Q08,800,2,False,False,True,False,False,True
dense,Q08,800,3,True,True,True,False,False,True
dense,Q08,800,4,False,False,True,False,False,True
dense,Q08,800,5,False,False,True,False,False,True
dense,Q09,800,1,True,True,True,True,True,True
dense,Q09,800,2,True,True,True,False,False,True
dense,Q09,800,3,True,True,True,True,True,True
dense,Q09,800,4,True,True,True,False,False,True
dense,Q09,800,5,True,True,True,True,True,True
dense,Q10,800,1,True,True,True,False,False,True
dense,Q10,800,2,True,True,True,True,True,True
dense,Q10,800,3,True,True,True,False,False,True
dense,Q10,800,4,True,True,True,True,True,True
dense,Q10,800,5,False,False,True,False,False,True
dense,Q11,800,1,False,False,True,False,False,True
dense,Q11,800,2,True,True,True,True,True,True
dense,Q11,800,3,False,False,True,False,False,True
dense,Q11,800,4,False,False,True,False,False,True
dense,Q11,800,5,False,False,True,False,False,True
dense,Q12,800,1,True,True,True,False,False,True
dense,Q12,800,2,True,True,True,False,False,True
dense,Q12,800,3,True,True,True,True,True,True
dense,Q12,800,4,True,True,True,False,False,True
dense,Q12,800,5,True,True,True,True,True,True
dense,Q13,800,1,True,True,True,True,True,True
dense,Q13,800,2,False,False,True,False,False,True
dense,Q13,800,3,True,True,True,False,False,True
dense,Q13,800,4,False,False,True,False,False,True
dense,Q13,800,5,True,True,True,False,False,True
dense,Q14,800,1,False,False,True,False,False,True
dense,Q14,800,2,False,False,True,False,False,True
dense,Q14,800,3,False,False,True,False,False,True
dense,Q14,800,4,True,True,True,False,False,True
dense,Q14,800,5,True,True,True,False,False,True
dense,Q15,800,1,False,False,True,False,False,True
dense,Q15,800,2,False,False,True,False,False,True
dense,Q15,800,3,False,False,True,False,False,True
dense,Q15,800,4,False,False,True,False,False,True
dense,Q15,800,5,True,True,True,False,False,True
bm25,Q01,200,1,False,False,True,False,False,True
bm25,Q01,200,2,False,False,True,False,False,True
bm25,Q01,200,3,False,False,True,False,False,True
bm25,Q01,200,4,True,True,True,False,False,True
bm25,Q01,200,5,True,True,True,False,False,True
bm25,Q02,200,1,True,True,True,False,False,True
bm25,Q02,200,2,True,True,True,False,False,True
bm25,Q02,200,3,True,True,True,False,False,True
bm25,Q02,200,4,True,True,True,False,False,True
bm25,Q02,200,5,True,True,True,False,False,True
bm25,Q03,200,1,False,False,True,False,False,True
bm25,Q03,200,2,False,False,True,False,False,True
bm25,Q03,200,3,False,False,True,False,False,True
bm25,Q03,200,4,False,False,True,False,False,True
bm25,Q03,200,5,False,False,True,False,False,True
bm25,Q04,200,1,True,True,True,False,False,True
bm25,Q04,200,2,True,True,True,False,False,True
bm25,Q04,200,3,True,True,True,False,False,True
bm25,Q04,200,4,True,True,True,False,False,True
bm25,Q04,200,5,True,True,True,False,False,True
bm25,Q05,200,1,True,True,True,False,False,True
bm25,Q05,200,2,True,True,True,False,False,True
bm25,Q05,200,3,True,True,True,False,False,True
bm25,Q05,200,4,True,True,True,False,False,True
bm25,Q05,200,5,False,False,True,False,False,True
bm25,Q06,200,1,False,False,True,False,False,True
bm25,Q06,200,2,True,True,True,True,True,True
bm25,Q06,200,3,False,False,True,False,False,True
bm25,Q06,200,4,False,False,True,False,False,True
bm25,Q06,200,5,False,False,True,False,False,True
bm25,Q07,200,1,True,True,True,False,False,True
bm25,Q07,200,2,True,True,True,False,False,True
bm25,Q07,200,3,True,True,True,True,True,True
bm25,Q07,200,4,True,True,True,True,True,True
bm25,Q07,200,5,True,True,True,False,False,True
bm25,Q08,200,1,False,False,True,False,False,True
bm25,Q08,200,2,False,False,True,False,False,True
bm25,Q08,200,3,False,False,True,False,False,True
bm25,Q08,200,4,True,True,True,True,True,True
bm25,Q08,200,5,False,False,True,False,False,True
bm25,Q09,200,1,True,True,True,True,True,True
bm25,Q09,200,2,True,True,True,False,False,True
bm25,Q09,200,3,True,True,True,True,True,True
bm25,Q09,200,4,True,True,True,True,True,True
bm25,Q09,200,5,True,True,True,False,False,True
bm25,Q10,200,1,True,True,True,False,False,True
bm25,Q10,200,2,True,True,True,True,True,True
bm25,Q10,200,3,True,True,True,False,False,True
bm25,Q10,200,4,True,True,True,False,False,True
bm25,Q10,200,5,True,True,True,False,False,True
bm25,Q11,200,1,False,False,True,False,False,True
bm25,Q11,200,2,False,False,True,False,False,True
bm25,Q11,200,3,False,False,True,False,False,True
bm25,Q11,200,4,False,False,True,False,False,True
bm25,Q11,200,5,True,True,True,True,True,True
bm25,Q12,200,1,True,True,True,False,False,True
bm25,Q12,200,2,True,True,True,False,False,True
bm25,Q12,200,3,True,True,True,True,True,True
bm25,Q12,200,4,False,False,True,False,False,True
bm25,Q12,200,5,True,True,True,True,True,True
bm25,Q13,200,1,True,True,True,False,False,True
bm25,Q13,200,2,True,True,True,False,False,True
bm25,Q13,200,3,True,True,True,True,True,True
bm25,Q13,200,4,True,True,True,True,True,True
bm25,Q13,200,5,True,True,True,False,False,True
bm25,Q14,200,1,True,True,True,True,True,True
bm25,Q14,200,2,False,False,True,False,False,True
bm25,Q14,200,3,False,False,True,False,False,True
bm25,Q14,200,4,False,False,True,False,False,True
bm25,Q14,200,5,True,True,True,True,True,True
bm25,Q15,200,1,False,False,True,False,False,True
bm25,Q15,200,2,False,False,True,False,False,True
bm25,Q15,200,3,False,False,True,False,False,True
bm25,Q15,200,4,False,False,True,False,False,True
bm25,Q15,200,5,True,True,True,False,False,True
bm25,Q01,400,1,False,False,True,False,False,True
bm25,Q01,400,2,False,False,True,False,False,True
bm25,Q01,400,3,False,False,True,False,False,True
bm25,Q01,400,4,False,False,True,False,False,True
bm25,Q01,400,5,True,True,True,False,False,True
bm25,Q02,400,1,True,True,True,False,False,True
bm25,Q02,400,2,True,True,True,False,False,True
bm25,Q02,400,3,True,True,True,False,False,True
bm25,Q02,400,4,True,True,True,False,False,True
bm25,Q02,400,5,True,True,True,False,False,True
bm25,Q03,400,1,False,False,True,False,False,True
bm25,Q03,400,2,False,False,True,False,False,True
bm25,Q03,400,3,False,False,True,False,False,True
bm25,Q03,400,4,False,False,True,False,False,True
bm25,Q03,400,5,False,False,True,False,False,True
bm25,Q04,400,1,True,True,True,False,False,True
bm25,Q04,400,2,True,True,True,False,False,True
bm25,Q04,400,3,True,True,True,True,True,True
bm25,Q04,400,4,True,True,True,False,False,True
bm25,Q04,400,5,True,True,True,False,False,True
bm25,Q05,400,1,True,True,True,True,True,True
bm25,Q05,400,2,True,True,True,False,False,True
bm25,Q05,400,3,True,True,True,False,False,True
bm25,Q05,400,4,False,False,True,False,False,True
bm25,Q05,400,5,True,True,True,False,False,True
bm25,Q06,400,1,False,False,True,False,False,True
bm25,Q06,400,2,False,False,True,False,False,True
bm25,Q06,400,3,False,False,True,False,False,True
bm25,Q06,400,4,True,True,True,True,True,True
bm25,Q06,400,5,False,False,True,False,False,True
bm25,Q07,400,1,True,True,True,False,False,True
bm25,Q07,400,2,True,True,True,False,False,True
bm25,Q07,400,3,True,True,True,True,True,True
bm25,Q07,400,4,True,True,True,True,True,True
bm25,Q07,400,5,True,True,True,True,True,True
bm25,Q08,400,1,False,False,True,False,False,True
bm25,Q08,400,2,False,False,True,False,False,True
bm25,Q08,400,3,False,False,True,False,False,True
bm25,Q08,400,4,True,True,True,True,True,True
bm25,Q08,400,5,False,False,True,False,False,True
bm25,Q09,400,1,True,True,True,False,False,True
bm25,Q09,400,2,True,True,True,False,False,True
bm25,Q09,400,3,True,True,True,True,True,True
bm25,Q09,400,4,True,True,True,True,True,True
bm25,Q09,400,5,True,True,True,True,True,True
bm25,Q10,400,1,True,True,True,False,False,True
bm25,Q10,400,2,True,True,True,True,True,True
bm25,Q10,400,3,True,True,True,False,False,True
bm25,Q10,400,4,True,True,True,False,False,True
bm25,Q10,400,5,True,True,True,False,False,True
bm25,Q11,400,1,False,False,True,False,False,True
bm25,Q11,400,2,True,True,True,True,True,True
bm25,Q11,400,3,False,False,True,False,False,True
bm25,Q11,400,4,False,False,True,False,False,True
bm25,Q11,400,5,False,False,True,False,False,True
bm25,Q12,400,1,True,True,True,False,False,True
bm25,Q12,400,2,True,True,True,False,False,True
bm25,Q12,400,3,True,True,True,True,True,True
bm25,Q12,400,4,True,True,True,False,False,True
bm25,Q12,400,5,False,False,True,False,False,True
bm25,Q13,400,1,True,True,True,True,True,True
bm25,Q13,400,2,True,True,True,False,False,True
bm25,Q13,400,3,True,True,True,True,True,True
bm25,Q13,400,4,True,True,True,False,False,True
bm25,Q13,400,5,True,True,True,False,False,True
bm25,Q14,400,1,False,False,True,False,False,True
bm25,Q14,400,2,True,True,True,False,False,True
bm25,Q14,400,3,True,True,True,True,True,True
bm25,Q14,400,4,True,True,True,True,True,True
bm25,Q14,400,5,True,True,True,True,True,True
bm25,Q15,400,1,False,False,True,False,False,True
bm25,Q15,400,2,False,False,True,False,False,True
bm25,Q15,400,3,True,True,True,False,False,True
bm25,Q15,400,4,False,False,True,False,False,True
bm25,Q15,400,5,True,True,True,False,False,True
bm25,Q01,800,1,False,False,True,False,False,True
bm25,Q01,800,2,True,True,True,False,False,True
bm25,Q01,800,3,False,False,True,False,False,True
bm25,Q01,800,4,False,False,True,False,False,True
bm25,Q01,800,5,False,False,True,False,False,True
bm25,Q02,800,1,True,True,True,False,False,True
bm25,Q02,800,2,True,True,True,False,False,True
bm25,Q02,800,3,True,True,True,True,True,True
bm25,Q02,800,4,True,True,True,False,False,True
bm25,Q02,800,5,True,True,True,False,False,True
bm25,Q03,800,1,False,False,True,False,False,True
bm25,Q03,800,2,False,False,True,False,False,True
bm25,Q03,800,3,False,False,True,False,False,True
bm25,Q03,800,4,False,False,True,False,False,True
bm25,Q03,800,5,False,False,True,False,False,True
bm25,Q04,800,1,True,True,True,False,False,True
bm25,Q04,800,2,True,True,True,False,False,True
bm25,Q04,800,3,True,True,True,False,False,True
bm25,Q04,800,4,True,True,True,False,False,True
bm25,Q04,800,5,True,True,True,False,False,True
bm25,Q05,800,1,True,True,True,False,False,True
bm25,Q05,800,2,False,False,True,False,False,True
bm25,Q05,800,3,True,True,True,True,True,True
bm25,Q05,800,4,True,True,True,False,False,True
bm25,Q05,800,5,True,True,True,False,False,True
bm25,Q06,800,1,False,False,True,False,False,True
bm25,Q06,800,2,False,False,True,False,False,True
bm25,Q06,800,3,True,True,True,True,True,True
bm25,Q06,800,4,False,False,True,False,False,True
bm25,Q06,800,5,True,True,True,True,True,True
bm25,Q07,800,1,True,True,True,True,True,True
bm25,Q07,800,2,True,True,True,True,True,True
bm25,Q07,800,3,True,True,True,False,False,True
bm25,Q07,800,4,True,True,True,True,True,True
bm25,Q07,800,5,True,True,True,True,True,True
bm25,Q08,800,1,True,True,True,True,True,True
bm25,Q08,800,2,False,False,True,False,False,True
bm25,Q08,800,3,False,False,True,False,False,True
bm25,Q08,800,4,False,False,True,False,False,True
bm25,Q08,800,5,False,False,True,False,False,True
bm25,Q09,800,1,True,True,True,True,True,True
bm25,Q09,800,2,True,True,True,True,True,True
bm25,Q09,800,3,True,True,True,False,False,True
bm25,Q09,800,4,True,True,True,True,True,True
bm25,Q09,800,5,True,True,True,False,False,True
bm25,Q10,800,1,True,True,True,False,False,True
bm25,Q10,800,2,True,True,True,False,False,True
bm25,Q10,800,3,True,True,True,True,True,True
bm25,Q10,800,4,True,True,True,True,True,True
bm25,Q10,800,5,True,True,True,False,False,True
bm25,Q11,800,1,False,False,True,False,False,True
bm25,Q11,800,2,False,False,True,False,False,True
bm25,Q11,800,3,True,True,True,True,True,True
bm25,Q11,800,4,True,True,True,False,False,True
bm25,Q11,800,5,False,False,True,False,False,True
bm25,Q12,800,1,True,True,True,False,False,True
bm25,Q12,800,2,True,True,True,False,False,True
bm25,Q12,800,3,True,True,True,True,True,True
bm25,Q12,800,4,False,False,True,False,False,True
bm25,Q12,800,5,True,True,True,False,False,True
bm25,Q13,800,1,True,True,True,True,True,True
bm25,Q13,800,2,True,True,True,False,False,True
bm25,Q13,800,3,True,True,True,True,True,True
bm25,Q13,800,4,True,True,True,False,False,True
bm25,Q13,800,5,True,True,True,False,False,True
bm25,Q14,800,1,True,True,True,True,True,True
bm25,Q14,800,2,True,True,True,True,True,True
bm25,Q14,800,3,True,True,True,False,False,True
bm25,Q14,800,4,False,False,True,False,False,True
bm25,Q14,800,5,False,False,True,False,False,True
bm25,Q15,800,1,True,True,True,False,False,True
bm25,Q15,800,2,False,False,True,False,False,True
bm25,Q15,800,3,False,False,True,False,False,True
bm25,Q15,800,4,False,False,True,False,False,True
bm25,Q15,800,5,True,True,True,False,False,True
